host,method,path,requests_times_production
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243599/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/187770/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243638/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243724/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/237156/items,8
app-uk-merchant.hungrypanda.co,POST,/api/merchant/data/config/bank/edit,8
fr-gateway.hungrypanda.co,POST,/api/erp/shop/extra/info/showCommission/getByShopId,8
uk-gateway.hungrypanda.co,POST,/api/deliveryAdmin/dispatch/announcement/update,8
fr-gateway.hungrypanda.co,OPTIONS,/api/bdm/eversign/queryContractDetail,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/140375/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241671/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236260/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241486/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245035/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/237570/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242707/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240144/items,8
fr-gateway.hungrypanda.co,POST,/api/erp/cdkey/config/add,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238141/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242237/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238501/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242207/items,8
fr-gateway.hungrypanda.co,POST,/api/erp/cdkey/config/export,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245792/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242170/items,8
fr-gateway.hungrypanda.co,OPTIONS,/api/erp/invite/award/query/award/detail,8
uk-gateway.hungrypanda.co,OPTIONS,/api/deliveryAdmin/salary/manager/batchDownloadFile,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/order/8392518497140751601225/info,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243591/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/237696/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236350/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245878/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/237697/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/order/2427423227846702321303/info,8
uk-gateway.hungrypanda.co,OPTIONS,/api/bdm/mobile/shop/18190/task/todo,8
uk-gateway.hungrypanda.co,GET,/api/sa/operation/plan/23363,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242297/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243018/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/order/4959219877148750141690/info,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244323/items,8
uk.pl1ink263sk86.com,POST,/api/special/channel/timely/status/PD1082229509149294592/2258097,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242801/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242831/items,8
uk-gateway.hungrypanda.co,POST,/api/erp/login-merchant-server/v1/841416904,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245317/items,8
uk-gateway.hungrypanda.co,POST,/api/dispatch/tobaccoAlcohol/taskList,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245347/items,8
pos-uk.hungrypanda.co,POST,/api/pos/v1/open/shop/895785510/business_status,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/235809/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/235834/items,8
uk-gateway.hungrypanda.co,OPTIONS,/api/bdm/mobile/shop/768924949/visit/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/order/9737201657541742401571/info,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/187761/items,8
pos-uk.hungrypanda.co,PUT,/api/pos/v1/open/shop/129796669/business_time,8
uk-gateway.hungrypanda.co,GET,/api/bdm/mobile/shop/1778/basic,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/237538/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242913/items,8
pos-uk.hungrypanda.co,POST,/api/pos/v1/open/menu/items_extra/834165/status,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/237362/items,8
uk-gateway.hungrypanda.co,OPTIONS,/api/bdm/mobile/shop/25471/task/todo,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243698/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243880/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/order/4087519627249727331099/info,8
pos-uk.hungrypanda.co,POST,/api/pos/v1/open/menu/items_extra/228864/status,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239927/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244924/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/235385/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238160/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/231073/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241776/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240068/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242247/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245641/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245649/items,8
uk-gateway.hungrypanda.co,OPTIONS,/api/erp/login-merchant-server/v1/23630,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/704184595/visit/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244322/items,8
pos-uk.hungrypanda.co,POST,/api/pos/v1/open/menu/items_extra/471131/status,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244822/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/231079/items,8
uk-gateway.hungrypanda.co,GET,/api/bdm/mobile/shop/98709396/basic,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244415/items,8
pos-uk.hungrypanda.co,POST,/api/pos/v1/open/shop/129796669/business_status,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236212/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241059/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243926/items,8
uk-gateway.hungrypanda.co,POST,/api/pos/api/availability,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245404/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245332/items,8
uk-gateway.hungrypanda.co,OPTIONS,/api/erp/activity/tag/list,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245247/items,8
uk-gateway.hungrypanda.co,OPTIONS,/api/bdm/mobile/shop/273905953/visit/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239447/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242274/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242585/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242556/items,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/273905953/visit/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243014/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239792/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239838/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241623/items,8
pos-uk.hungrypanda.co,PUT,/api/pos/v1/open/shop/50661239/business_time,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245729/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/140381/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244273/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/order/6007482087042792821748/info,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241456/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240123/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241260/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238437/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244340/items,8
pos-fr.hungrypanda.co,GET,/api/pos/v2/open/item/detail/c8d6250ab6524e3c906fa9e45ec53bf3/661125,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241050/items,8
fr-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/1324/task/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/235559/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/237566/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243608/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241276/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/237193/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239519/items,8
uk-gateway.hungrypanda.co,OPTIONS,/api/deliveryAdmin/new/driver/shopDriverCombination,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240306/items,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/983142804/task/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238832/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238077/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238511/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244266/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244232/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244333/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239790/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240402/items,8
pos-uk.hungrypanda.co,POST,/api/pos/v1/open/shop/568086377/business_status,8
pos-uk.hungrypanda.co,POST,/api/pos/v1/open/menu/items_extra/471264/status,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/235535/items,8
pos-uk.hungrypanda.co,POST,/api/pos/v1/open/menu/items_extra/471203/status,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243609/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236140/items,8
app.eur.hungrypanda.co,GET,/api/app/user/order/tip,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242914/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/237073/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236718/items,8
pos-uk.hungrypanda.co,PUT,/api/pos/v1/open/shop/854700591/business_time,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236248/items,8
uk-gateway.hungrypanda.co,OPTIONS,/api/erp/invitation/shop/batchDel,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/231075/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242143/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238291/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238523/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/64709/items,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/461946922/task/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239165/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240922/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245242/items,8
pos-uk.hungrypanda.co,POST,/api/pos/v1/open/menu/items_extra/359399/status,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243649/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240914/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236208/items,8
pos-uk.hungrypanda.co,PUT,/api/pos/v1/open/shop/765865542/business_time,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236807/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/order/600558223704872698987/info,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239590/items,8
uk-gateway.hungrypanda.co,POST,/api/erp/community/entrance/pageList,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243037/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242882/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242441/items,8
admin-api-uk.pandafreshmart.com,OPTIONS,/transfersOrder/getImportTemplate,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/237078/items,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/1744/task/todo,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236849/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242910/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245257/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245681/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240276/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239116/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243910/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245881/items,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/397805984/task/todo,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/187771/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/187769/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240146/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243661/items,8
pos-uk.hungrypanda.co,POST,/api/pos/v1/open/menu/items_extra/471179/status,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236983/items,8
app-eur.hungrypanda.co,POST,/api/app/user/invite/bind,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239878/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238693/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238905/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245528/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242823/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243567/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242124/items,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/28988453/task/page,8
uk-gateway.hungrypanda.co,OPTIONS,/api/bdm/mobile/shop/461946922/task/page,8
uk-gateway.hungrypanda.co,OPTIONS,/api/bdm/mobile/shop/791923881/task/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/order/9513331797447745351155/info,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244011/items,8
admin-eur.hungrypanda.co,GET,/admin/merchant/evaluateMerchant.htm,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/305424479/task/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236837/items,8
fr-gateway.hungrypanda.co,OPTIONS,/api/erp/delivery/price/template/list,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238433/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238483/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238557/items,8
uk-gateway.hungrypanda.co,GET,/api/bdm/mobile/shop/344073020/basic,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241070/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245658/items,8
uk-gateway.hungrypanda.co,POST,/api/erp/popup/redpacket/reissue/list,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236353/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241520/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239583/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244313/items,8
pos-uk.hungrypanda.co,PUT,/api/pos/v1/open/shop/146355773/business_time,8
fr-gateway.hungrypanda.co,OPTIONS,/api/erp/upload/file,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243851/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241683/items,8
uk-gateway.hungrypanda.co,OPTIONS,/api/bdm/mobile/shop/23299/task/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/235517/items,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/18324511/task/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239613/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242379/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243492/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245348/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/order/8467096417143792901406/info,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245291/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240883/items,8
admin-eur.hungrypanda.co,GET,/admin/merchant/getDeliveryFarawayFence.htm,8
uk-gateway.hungrypanda.co,OPTIONS,/api/bdm/mobile/shop/704184595/visit/page,8
uk-gateway.hungrypanda.co,OPTIONS,/api/erp/shopAd/config/on,8
fr-gateway.hungrypanda.co,POST,/api/erp/tag/manager/city,8
fr-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/3654/task/page,8
pos-uk.hungrypanda.co,PUT,/api/pos/v1/open/shop/568088736/business_time,8
uk-gateway.hungrypanda.co,OPTIONS,/api/bdm/mobile/shop/2270/task/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242971/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/order/007869535724370071814/info,8
pos-uk.hungrypanda.co,POST,/api/pos/v1/open/menu/items_extra/951144/status,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244325/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/order/617907120744172427921/info,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236706/items,8
uk-gateway.hungrypanda.co,OPTIONS,/api/deliveryAdmin/packageInfo/list,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239005/items,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/877932035/visit/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/235827/items,8
uk-gateway.hungrypanda.co,OPTIONS,/api/bdm/mobile/shop/273905953/basic,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236009/items,8
fr-gateway.hungrypanda.co,OPTIONS,/api/dispatch/order/foodDeliveryCodecompleteMethod,8
uk-gateway.hungrypanda.co,OPTIONS,/api/bdm/mobile/shop/751207453/task/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/237756/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240882/items,8
pos-uk.hungrypanda.co,PUT,/api/pos/v1/open/shop/663530560/business_time,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240999/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244838/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244355/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239882/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239123/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238971/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240282/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239169/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/235386/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243641/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/order/8407324377846709351242/info,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243476/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236853/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/235921/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/40315/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236151/items,8
pos-uk.hungrypanda.co,POST,/api/pos/v1/open/menu/items_extra/834200/status,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/18885/task/page,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/1759/task/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243887/items,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/23299/task/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242958/items,8
uk-gateway.hungrypanda.co,GET,/api/bdm/mobile/shop/visit/61208/detail,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/555245971/visit/page,8
fr-gateway.hungrypanda.co,POST,/api/erp/login-merchant-server/v1/248234704,8
uk-gateway.hungrypanda.co,GET,/api/bdm/mobile/shop/555245971/basic,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/581106343/task/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241686/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/235853/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244447/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/235709/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238651/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244987/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/237308/items,8
fr-gateway.hungrypanda.co,POST,/api/dispatch/order/foodDeliveryCodecompleteMethod,8
admin-uk.hungrypanda.co,GET,/admin/pos/addShopPos.htm,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241341/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245315/items,8
uk-gateway.hungrypanda.co,OPTIONS,/api/bdm/mobile/shop/983142804/task/page,8
pos-uk.hungrypanda.co,PUT,/api/pos/v1/open/shop/718769602/business_time,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245660/items,8
pos-uk.hungrypanda.co,PUT,/api/pos/v1/open/shop/895785510/business_time,8
uk-gateway.hungrypanda.co,POST,/api/bdm/mobile/shop/552762160/task/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/237523/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241658/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239702/items,8
uk-gateway.hungrypanda.co,OPTIONS,/api/bdm/mobile/shop/681018762/task/page,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/167197/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244149/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239886/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243956/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245769/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240246/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241360/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241581/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243495/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/64702/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238965/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/order/589149474774275293896/info,8
fr-gateway.hungrypanda.co,OPTIONS,/api/bdm/material/getCategories,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238508/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239177/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/236235/items,8
uk-gateway.hungrypanda.co,GET,/api/bdm/mobile/shop/750724472/basic,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/245305/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/140377/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/187765/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240253/items,8
pos-uk.hungrypanda.co,PUT,/api/pos/v1/open/shop/557114918/business_time,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244423/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/239035/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/240099/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/243937/items,8
pos-uk.hungrypanda.co,POST,/api/pos/v1/open/menu/473824129/items/batch/save,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244225/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/242305/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238107/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/244455/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/238867/items,8
pos-uk.hungrypanda.co,GET,/api/pos/v1/open/menu/categories/241666/items,8
